                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0921,                0.54545,                      1,                  1.447,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.0741,                0.54545,                      1,                 1.4357,             9.0982e-05,             9.0982e-05,             9.0982e-05
                      3,                 1.0147,                0.56364,                      1,                 1.4124,             0.00013715,             0.00013715,             0.00013715
                      4,                0.95109,                0.58182,                      1,                 1.3877,             0.00018133,             0.00018133,             0.00018133
                      5,                0.84113,                0.56364,                      1,                 1.3594,             0.00022353,             0.00022353,             0.00022353
                      6,                0.79169,                0.56364,                      1,                 1.3403,             0.00026376,             0.00026376,             0.00026376
                      7,                 0.7093,                0.61818,                      1,                 1.3159,               0.000302,               0.000302,               0.000302
                      8,                0.65878,                0.61818,                      1,                 1.2966,             0.00033827,             0.00033827,             0.00033827
                      9,                0.58914,                0.63636,                      1,                 1.2857,             0.00037256,             0.00037256,             0.00037256
                     10,                0.48246,                0.65455,                      1,                 1.2711,             0.00040487,             0.00040487,             0.00040487
                     11,                0.46447,                0.65455,                      1,                 1.2573,              0.0004352,              0.0004352,              0.0004352
                     12,                0.37866,                0.65455,                      1,                 1.2511,             0.00046355,             0.00046355,             0.00046355
                     13,                0.31567,                0.65455,                      1,                  1.247,             0.00048992,             0.00048992,             0.00048992
                     14,                0.29466,                0.65455,                      1,                 1.2334,             0.00051431,             0.00051431,             0.00051431
                     15,                0.25907,                0.65455,                      1,                 1.2344,             0.00051608,             0.00051608,             0.00051608
                     16,                0.22006,                0.69091,                      1,                 1.2199,             0.00050194,             0.00050194,             0.00050194
                     17,                 0.1681,                0.70909,                      1,                 1.2122,              0.0004878,              0.0004878,              0.0004878
                     18,                0.19116,                0.72727,                      1,                 1.2171,             0.00047367,             0.00047367,             0.00047367
                     19,                0.20375,                0.65455,                      1,                 1.2325,             0.00045953,             0.00045953,             0.00045953
                     20,                0.12078,                0.61818,                      1,                 1.2435,             0.00044539,             0.00044539,             0.00044539
                     21,                0.13928,                    0.6,                      1,                 1.2507,             0.00043126,             0.00043126,             0.00043126
                     22,                0.12833,                0.65455,                      1,                 1.2305,             0.00041712,             0.00041712,             0.00041712
                     23,                0.13234,                0.70909,                      1,                 1.2109,             0.00040298,             0.00040298,             0.00040298
                     24,                0.08685,                0.72727,                      1,                 1.2001,             0.00038884,             0.00038884,             0.00038884
                     25,                0.12172,                0.72727,                      1,                 1.1925,             0.00037471,             0.00037471,             0.00037471
                     26,                0.10049,                0.78182,                      1,                 1.1737,             0.00036057,             0.00036057,             0.00036057
                     27,                0.07362,                0.76364,                      1,                 1.1634,             0.00034643,             0.00034643,             0.00034643
                     28,                 0.0579,                0.78182,                      1,                 1.1571,              0.0003323,              0.0003323,              0.0003323
                     29,                0.08472,                0.74545,                      1,                 1.1629,             0.00031816,             0.00031816,             0.00031816
                     30,                0.07167,                0.74545,                      1,                 1.1685,             0.00030402,             0.00030402,             0.00030402
                     31,                0.05624,                0.72727,                      1,                 1.1814,             0.00028988,             0.00028988,             0.00028988
                     32,                0.05989,                0.69091,                      1,                 1.2076,             0.00027575,             0.00027575,             0.00027575
                     33,                0.06753,                0.67273,                      1,                 1.2109,             0.00026161,             0.00026161,             0.00026161
                     34,                0.08256,                0.70909,                      1,                 1.2026,             0.00024747,             0.00024747,             0.00024747
                     35,                0.05541,                0.74545,                      1,                 1.1849,             0.00023334,             0.00023334,             0.00023334
                     36,                0.10411,                0.74545,                      1,                 1.1856,              0.0002192,              0.0002192,              0.0002192
                     37,                0.08828,                0.74545,                      1,                 1.1869,             0.00020506,             0.00020506,             0.00020506
                     38,                0.06915,                0.74545,                      1,                 1.1844,             0.00019092,             0.00019092,             0.00019092
                     39,                0.07337,                0.72727,                      1,                 1.1852,             0.00017679,             0.00017679,             0.00017679
                     40,                0.02783,                0.72727,                      1,                 1.1912,             0.00016265,             0.00016265,             0.00016265
                     41,                0.06599,                0.72727,                      1,                 1.1983,             0.00014851,             0.00014851,             0.00014851
                     42,                0.04273,                0.74545,                      1,                  1.193,             0.00013437,             0.00013437,             0.00013437
                     43,                0.02393,                0.74545,                      1,                 1.1946,             0.00012024,             0.00012024,             0.00012024
                     44,                 0.0491,                0.74545,                      1,                 1.1917,              0.0001061,              0.0001061,              0.0001061
                     45,                0.05396,                0.74545,                      1,                 1.1903,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.04313,                0.72727,                      1,                 1.1972,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.05858,                0.72727,                      1,                 1.1977,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.06263,                0.74545,                      1,                 1.1893,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.03849,                0.74545,                      1,                 1.1929,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.05917,                0.74545,                      1,                 1.1866,             2.1277e-05,             2.1277e-05,             2.1277e-05
