                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5883,                0.50228,                      1,                 1.5373,             0.00018564,             0.00018564,             0.00018564
                      2,                 1.2222,                0.61187,                      1,                 1.3709,             0.00034096,             0.00034096,             0.00034096
                      3,                0.95252,                 0.6621,                      1,                 1.3018,              0.0004581,              0.0004581,              0.0004581
                      4,                0.77107,                0.73059,                      1,                  1.241,             0.00050194,             0.00050194,             0.00050194
                      5,                0.63711,                0.73059,                      1,                  1.226,             0.00043126,             0.00043126,             0.00043126
                      6,                0.53185,                0.75342,                      1,                 1.2124,             0.00036057,             0.00036057,             0.00036057
                      7,                0.46228,                0.74886,                      1,                 1.2008,             0.00028988,             0.00028988,             0.00028988
                      8,                0.45239,                0.75342,                      1,                 1.1607,              0.0002192,              0.0002192,              0.0002192
                      9,                 0.4113,                0.77626,                      1,                 1.1541,             0.00014851,             0.00014851,             0.00014851
                     10,                0.39961,                0.78995,                      1,                 1.1682,             7.7826e-05,             7.7826e-05,             7.7826e-05
