                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3339,                0.72408,                      1,                 1.2211,             0.00023139,             0.00023139,             0.00023139
                      2,                0.69804,                 0.7891,                      1,                 1.1819,             0.00046009,             0.00046009,             0.00046009
                      3,                 0.5441,                0.82777,                      1,                 1.1502,             0.00067938,             0.00067938,             0.00067938
                      4,                0.42795,                0.84183,                      1,                 1.1021,             0.00067159,             0.00067159,             0.00067159
                      5,                0.33545,                0.83831,                      1,                 1.1017,             0.00065745,             0.00065745,             0.00065745
                      6,                0.30135,                0.85062,                      1,                 1.0816,             0.00064331,             0.00064331,             0.00064331
                      7,                0.26169,                0.88225,                      1,                 1.0499,             0.00062918,             0.00062918,             0.00062918
                      8,                0.19922,                0.88928,                      1,                 1.0411,             0.00061504,             0.00061504,             0.00061504
                      9,                0.16616,                0.87873,                      1,                 1.0323,              0.0006009,              0.0006009,              0.0006009
                     10,                  0.167,                0.88225,                      1,                 1.0342,             0.00058677,             0.00058677,             0.00058677
                     11,                0.12281,                0.86995,                      1,                 1.0457,             0.00057263,             0.00057263,             0.00057263
                     12,                0.12635,                0.90685,                      1,                   1.02,             0.00055849,             0.00055849,             0.00055849
                     13,                0.13092,                0.90334,                      1,                 1.0227,             0.00054435,             0.00054435,             0.00054435
                     14,                0.10429,                0.89982,                      1,                 1.0163,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.0948,                0.89104,                      1,                 1.0172,             0.00051608,             0.00051608,             0.00051608
                     16,                0.08717,                0.89104,                      1,                 1.0185,             0.00050194,             0.00050194,             0.00050194
                     17,                0.08511,                0.90158,                      1,                  1.004,              0.0004878,              0.0004878,              0.0004878
                     18,                0.07819,                0.90334,                      1,                 1.0094,             0.00047367,             0.00047367,             0.00047367
                     19,                0.06838,                 0.9051,                      1,                 1.0063,             0.00045953,             0.00045953,             0.00045953
                     20,                0.05786,                0.90158,                      1,                 1.0042,             0.00044539,             0.00044539,             0.00044539
                     21,                0.06106,                0.91388,                      1,                0.99194,             0.00043126,             0.00043126,             0.00043126
                     22,                0.04868,                0.91916,                      1,                0.99328,             0.00041712,             0.00041712,             0.00041712
                     23,                0.07267,                0.91213,                      1,                0.99683,             0.00040298,             0.00040298,             0.00040298
                     24,                0.05828,                0.91213,                      1,                 0.9986,             0.00038884,             0.00038884,             0.00038884
                     25,                0.04959,                0.91037,                      1,                0.99817,             0.00037471,             0.00037471,             0.00037471
                     26,                0.06262,                0.91916,                      1,                0.99636,             0.00036057,             0.00036057,             0.00036057
                     27,                0.03754,                0.91916,                      1,                 0.9865,             0.00034643,             0.00034643,             0.00034643
                     28,                0.04184,                0.92267,                      1,                0.99226,              0.0003323,              0.0003323,              0.0003323
                     29,                0.04845,                0.91564,                      1,                0.99305,             0.00031816,             0.00031816,             0.00031816
                     30,                0.03974,                0.91916,                      1,                 0.9896,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0355,                0.91388,                      1,                0.99393,             0.00028988,             0.00028988,             0.00028988
                     32,                0.02722,                0.91916,                      1,                0.99001,             0.00027575,             0.00027575,             0.00027575
                     33,                0.03561,                0.91916,                      1,                0.98618,             0.00026161,             0.00026161,             0.00026161
                     34,                0.03188,                 0.9174,                      1,                0.98907,             0.00024747,             0.00024747,             0.00024747
                     35,                0.03078,                0.92619,                      1,                0.99213,             0.00023334,             0.00023334,             0.00023334
                     36,                 0.0242,                0.91916,                      1,                0.98828,              0.0002192,              0.0002192,              0.0002192
                     37,                 0.0311,                0.92267,                      1,                0.98468,             0.00020506,             0.00020506,             0.00020506
                     38,                0.02097,                0.92443,                      1,                 0.9882,             0.00019092,             0.00019092,             0.00019092
                     39,                0.02426,                0.92267,                      1,                0.98212,             0.00017679,             0.00017679,             0.00017679
                     40,                0.02353,                0.92619,                      1,                0.98254,             0.00016265,             0.00016265,             0.00016265
                     41,                0.01725,                0.92443,                      1,                0.98546,             0.00014851,             0.00014851,             0.00014851
                     42,                0.02472,                0.92267,                      1,                0.98864,             0.00013437,             0.00013437,             0.00013437
                     43,                0.02211,                0.91916,                      1,                0.97973,             0.00012024,             0.00012024,             0.00012024
                     44,                0.02283,                0.92091,                      1,                0.97788,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01679,                0.91916,                      1,                0.98471,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.01958,                0.92091,                      1,                0.97912,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.01894,                0.91916,                      1,                0.98383,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01568,                0.92267,                      1,                0.98401,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01661,                0.92267,                      1,                0.98104,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.01884,                0.92091,                      1,                0.98532,             2.1277e-05,             2.1277e-05,             2.1277e-05
